02 Token Inválido
28 Token Inválido
26 Token Inválido
2024-02-11 12:00:10.480910 - 22 Token Inválido
2024-06-18 21:00:04.949040 - \\192.42.103.17\propaganda\publicador_facebook\img\img13.png não foi encontrada
2024-06-19 09:00:12.219262 - \\192.42.103.17\propaganda\publicador_facebook\img\img22.png não foi encontrada
2024-06-19 12:00:04.623511 - \\192.42.103.17\propaganda\publicador_facebook\img\img04.png não foi encontrada
2024-06-19 18:00:04.130648 - \\192.42.103.17\propaganda\publicador_facebook\img\img14.png não foi encontrada
2024-06-19 21:00:04.386935 - \\192.42.103.17\propaganda\publicador_facebook\img\img23.png não foi encontrada
2024-06-20 09:00:11.618332 - \\192.42.103.17\propaganda\publicador_facebook\img\img05.png não foi encontrada
2024-06-20 12:00:05.226292 - \\192.42.103.17\propaganda\publicador_facebook\img\img15.png não foi encontrada
2024-06-20 18:00:04.076403 - \\192.42.103.17\propaganda\publicador_facebook\img\img24.png não foi encontrada
2024-06-20 21:00:04.444841 - \\192.42.103.17\propaganda\publicador_facebook\img\img06.png não foi encontrada
2024-06-21 09:00:10.194582 - \\192.42.103.17\propaganda\publicador_facebook\img\img16.png não foi encontrada
2024-06-21 12:00:26.301228 - \\192.42.103.17\propaganda\publicador_facebook\img\img25.png não foi encontrada
2024-06-21 18:00:04.889399 - \\192.42.103.17\propaganda\publicador_facebook\img\img07.png não foi encontrada
2024-06-21 21:00:05.190345 - \\192.42.103.17\propaganda\publicador_facebook\img\img17.png não foi encontrada
2024-06-22 09:00:10.287730 - \\192.42.103.17\propaganda\publicador_facebook\img\img26.png não foi encontrada
2024-06-22 12:00:05.252776 - \\192.42.103.17\propaganda\publicador_facebook\img\img08.png não foi encontrada
2024-06-22 18:00:05.411224 - \\192.42.103.17\propaganda\publicador_facebook\img\img18.png não foi encontrada
2024-06-22 21:00:04.975131 - \\192.42.103.17\propaganda\publicador_facebook\img\img27.png não foi encontrada
2024-06-23 09:00:10.080154 - \\192.42.103.17\propaganda\publicador_facebook\img\img09.png não foi encontrada
2024-06-23 12:00:07.634241 - \\192.42.103.17\propaganda\publicador_facebook\img\img19.png não foi encontrada
2024-06-23 18:00:06.216736 - \\192.42.103.17\propaganda\publicador_facebook\img\img28.png não foi encontrada
2024-06-23 21:00:05.504133 - \\192.42.103.17\propaganda\publicador_facebook\img\img10.png não foi encontrada
2024-06-24 09:00:09.692813 - \\192.42.103.17\propaganda\publicador_facebook\img\img01.png não foi encontrada
2024-06-24 12:00:05.188129 - \\192.42.103.17\propaganda\publicador_facebook\img\img11.png não foi encontrada
2024-06-24 18:00:06.341805 - \\192.42.103.17\propaganda\publicador_facebook\img\img20.png não foi encontrada
2024-06-24 21:00:05.154059 - \\192.42.103.17\propaganda\publicador_facebook\img\img02.png não foi encontrada
